,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length,tokens,padded_tokens
2369,He deserves 5 stars.,1,yelp,He deserves 5 stars,deserves 5 stars,4,"[617, 180, 181]","[617 180 181   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1164,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,imdb,It was a good thing that the tickets only cost five dollars because I would be mad if Id have paid 750 to see this crap  ,good thing tickets cost five dollars would mad id paid 750 see crap,26,"[2, 56, 1791, 618, 619, 1119, 16, 1792, 233, 620, 1793, 49, 288]","[   2   56 1791  618  619 1119   16 1792  233  620 1793   49  288    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
477,The volume switch rocketed out of the unit to a destination unknown.,0,amz,The volume switch rocketed out of the unit to a destination unknown,volume switch rocketed unit destination unknown,12,"[259, 1794, 1795, 328, 1796, 1797]","[ 259 1794 1795  328 1796 1797    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1728,Very nice and relaxing late night viewing.  ,1,imdb,Very nice and relaxing late night viewing  ,nice relaxing late night viewing,7,"[30, 1798, 1120, 142, 1121]","[  30 1798 1120  142 1121    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1065,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0,imdb,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  ,one character totally annoying voice gives feeling fingernails chalkboard,18,"[7, 126, 114, 508, 329, 621, 203, 1799, 1800]","[   7  126  114  508  329  621  203 1799 1800    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2381,They have great dinners.,1,yelp,They have great dinners,great dinners,4,"[3, 1801]","[   3 1801    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
504,I wear glasses and it fits fine with them.,1,amz,I wear glasses and it fits fine with them,wear glasses fits fine,9,"[330, 1122, 234, 104]","[ 330 1122  234  104    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2140,Don't do it!!!!,0,yelp,Dont do it,dont,3,[18],"[18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
354,Excellent starter wireless headset.,0,amz,Excellent starter wireless headset,excellent starter wireless headset,4,"[39, 1802, 774, 46]","[  39 1802  774   46    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1255,That was nice.  ,1,imdb,That was nice  ,nice,3,[30],"[30  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
