,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
0,So there is no way for me to plug it in here in the US unless I go by a converter.,0,amz,So there is no way for me to plug it in here in the US unless I go by a converter,way plug us unless go converter,21
1,"Good case, Excellent value.",1,amz,Good case Excellent value,good case excellent value,4
2,Great for the jawbone.,1,amz,Great for the jawbone,great jawbone,4
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,amz,Tied to charger for conversations lasting more than 45 minutesMAJOR PROBLEMS,tied charger conversations lasting 45 minutesmajor problems,11
4,The mic is great.,1,amz,The mic is great,mic great,4
5,I have to jiggle the plug to get it to line up right to get decent volume.,0,amz,I have to jiggle the plug to get it to line up right to get decent volume,jiggle plug get line right get decent volume,17
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,amz,If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,several dozen several hundred contacts imagine fun sending one one,21
7,If you are Razr owner...you must have this!,1,amz,If you are Razr owneryou must have this,razr owneryou must,8
8,"Needless to say, I wasted my money.",0,amz,Needless to say I wasted my money,needless say wasted money,7
9,What a waste of money and time!.,0,amz,What a waste of money and time,waste money time,7
10,And the sound quality is great.,1,amz,And the sound quality is great,sound quality great,6
11,He was very impressed when going from the original battery to the extended battery.,1,amz,He was very impressed when going from the original battery to the extended battery,impressed going original battery extended battery,14
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,amz,If the two were seperated by a mere 5 ft I started to notice excessive static and garbled sound from the headset,two seperated mere 5 ft started notice excessive static garbled sound headset,22
13,Very good quality though,1,amz,Very good quality though,good quality though,4
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,amz,The design is very odd as the ear clip is not very comfortable at all,design odd ear clip comfortable,15
15,Highly recommend for any one who has a blue tooth phone.,1,amz,Highly recommend for any one who has a blue tooth phone,highly recommend one blue tooth phone,11
16,I advise EVERYONE DO NOT BE FOOLED!,0,amz,I advise EVERYONE DO NOT BE FOOLED,advise everyone fooled,7
17,So Far So Good!.,1,amz,So Far So Good,far good,4
18,Works great!.,1,amz,Works great,works great,2
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0,amz,It clicks into place in a way that makes you wonder how long that mechanism would last,clicks place way makes wonder long mechanism would last,17
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,amz,I went on Motorolas website and followed all directions but could not get it to pair again,went motorolas website followed directions could get pair,17
21,I bought this to use with my Kindle Fire and absolutely loved it!,1,amz,I bought this to use with my Kindle Fire and absolutely loved it,bought use kindle fire absolutely loved,13
22,The commercials are the most misleading.,0,amz,The commercials are the most misleading,commercials misleading,6
23,I have yet to run this new battery below two bars and that's three days without charging.,1,amz,I have yet to run this new battery below two bars and thats three days without charging,yet run new battery two bars thats three days without charging,17
24,I bought it for my mother and she had a problem with the battery.,0,amz,I bought it for my mother and she had a problem with the battery,bought mother problem battery,14
25,Great Pocket PC / phone combination.,1,amz,Great Pocket PC  phone combination,great pocket pc phone combination,5
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,amz,Ive owned this phone for 7 months now and can say that its the best mobile phone Ive had,ive owned phone 7 months say best mobile phone ive,19
27,I didn't think that the instructions provided were helpful to me.,0,amz,I didnt think that the instructions provided were helpful to me,didnt think instructions provided helpful,11
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,amz,People couldnt hear me talk and I had to pull out the earphone and talk on the phone,people couldnt hear talk pull earphone talk phone,18
29,Doesn't hold charge.,0,amz,Doesnt hold charge,doesnt hold charge,3
30,"This is a simple little phone to use, but the breakage is unacceptible.",0,amz,This is a simple little phone to use but the breakage is unacceptible,simple little phone use breakage unacceptible,13
31,This product is ideal for people like me whose ears are very sensitive.,1,amz,This product is ideal for people like me whose ears are very sensitive,product ideal people like whose ears sensitive,13
32,It is unusable in a moving car at freeway speed.,0,amz,It is unusable in a moving car at freeway speed,unusable moving car freeway speed,10
33,I have two more years left in this contract and I hate this phone.,0,amz,I have two more years left in this contract and I hate this phone,two years left contract hate phone,14
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,amz,Car charger as well as AC charger are included to make sure you never run out of juiceHighy recommended,car charger well ac charger included make sure never run juicehighy recommended,19
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,amz,You need at least 3 mins to get to your phone book from the time you first turn on the phoneBattery life is short,need least 3 mins get phone book time first turn phonebattery life short,24
36,It has kept up very well.,1,amz,It has kept up very well,kept well,6
37,Poor Talk Time Performance.,0,amz,Poor Talk Time Performance,poor talk time performance,4
38,The case is great and works fine with the 680.,1,amz,The case is great and works fine with the 680,case great works fine 680,10
39,worthless product.,0,amz,worthless product,worthless product,2
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,amz,It has a great camera thats 2MP and the pics are nice and clear with great picture quality,great camera thats 2mp pics nice clear great picture quality,18
41,I was not impressed by this product.,0,amz,I was not impressed by this product,impressed product,7
42,Nice headset priced right.,1,amz,Nice headset priced right,nice headset priced right,4
43,I only hear garbage for audio.,0,amz,I only hear garbage for audio,hear garbage audio,6
44,Excellent bluetooth headset.,1,amz,Excellent bluetooth headset,excellent bluetooth headset,3
45,It has all the features I want,1,amz,It has all the features I want,features want,7
